epoch,train_loss,test_loss,test_accuracy
0,28.32164739217447,32.49785045623779,0.1
1,13.883195353960149,17.609351539611815,0.1
2,18.10275797642708,9.74220932006836,0.1648
3,14.246929522109768,13.245276927947998,0.1708
4,13.256264362309553,10.549297199249267,0.1611
5,13.11651993154576,14.868600959777831,0.1096
6,10.676014264446092,9.510960311889649,0.2133
7,7.707565829827199,8.629048595428467,0.2623
8,5.407597641295131,7.031250104904175,0.2726
9,3.518684744123357,3.487614116668701,0.3387
10,4.441812341981841,5.6550056266784665,0.2995
11,4.015337293193132,2.884027514457703,0.4151
12,3.5163860184979234,2.4688380098342897,0.4231
13,2.7397236248178785,2.335822055339813,0.4414
14,2.4949314068621744,2.0699123787879943,0.4659
15,2.6702106461464794,2.326198651790619,0.4815
16,2.405545771041333,3.3998181200027466,0.4604
17,2.194148405584007,3.873318634033203,0.4312
18,2.90998283035644,3.413448204994202,0.4465
19,2.0469281655894,2.7393788290023804,0.4913
20,2.058417765807995,2.7172391319274904,0.4624
21,2.0822130571592896,2.2830292105674745,0.5048
22,2.0337521326588703,3.4155207300186157,0.4887
23,1.9517200015825504,2.153785605430603,0.5692
24,1.565637689567476,1.7538861513137818,0.5444
25,1.634535963479866,2.998073101043701,0.4984
26,1.4594009120138276,1.8032152795791625,0.5619
27,1.4009800195597035,1.207525475025177,0.6348
28,1.3884692451187035,1.7686540579795837,0.5703
29,1.4311648070959309,1.5911303973197937,0.5699
30,1.20170008998119,1.2929993653297425,0.6102
31,1.2866852926990722,1.8012067151069642,0.5634
32,1.1687620228934605,1.4169292974472045,0.6213
33,1.1006435797025627,1.488777027130127,0.594
34,1.2814005055287077,1.1977205538749696,0.6467
35,1.1172170535357948,1.1173127937316893,0.6559
36,1.0868074637931993,1.239894094467163,0.6257
37,0.9580623667316909,1.025216088294983,0.6735
38,1.014066774059409,1.0627083492279052,0.6671
39,0.938192421777219,1.032597585916519,0.6761
40,0.9659473072004033,0.9843720912933349,0.6861
41,0.9513203128805338,1.1598666751384734,0.6582
42,0.8822008422078541,1.028417284488678,0.6698
43,0.9137034750490803,1.0011477077007294,0.6863
44,0.943389759112982,0.9136183369159698,0.7031
45,0.9002552851194553,1.0444453871250152,0.6849
46,0.8420204179381912,0.8946849346160889,0.7122
47,0.8264739109790556,0.9042993211746215,0.7094
48,0.8462933456360984,0.8808334732055664,0.7126
49,0.7982688066750341,0.9950620627403259,0.6875
50,0.8064676372844226,1.0230830824375152,0.6793
51,0.8371229509679852,0.877980397939682,0.7124
52,0.8255060958261371,0.891239116191864,0.7073
53,0.8016536754149303,0.8354409158229827,0.7252
54,0.8308392924273027,0.8807747280597686,0.7196
55,0.7981540588143637,0.8871857166290283,0.7146
56,0.7515451567917659,0.8602336966991424,0.7191
57,0.7407506395090653,0.8309001469612122,0.7353
58,0.8162034340769093,0.8445037341117859,0.7273
59,0.7821189925645683,0.8630497586727143,0.7245
60,0.7471163955314329,0.8398982214927674,0.7265
61,3986.357579991455,7006.847294921875,0.5703
62,3522.4836486446684,6362.015400390625,0.6073
63,3267.430176808308,5477.391103515625,0.6975
64,3010.804460445004,5234.75447265625,0.7231
65,2711.017447068399,4656.5361328125,0.7459
66,2511.2468668201673,3969.052158203125,0.7868
67,2459.256087226944,3900.216826171875,0.796
68,2141.636745229727,3623.0426806640626,0.8076
69,2092.343044211958,3171.9209033203124,0.8374
70,2122.678453893285,3113.136064453125,0.8416
71,1869.420166492649,3038.8238671875,0.8498
72,1764.2557575371204,2896.54095703125,0.8553
73,1706.014733148398,2769.54767578125,0.8559
74,1553.64130707127,2655.1158837890625,0.8663
75,1460.9649936121252,2652.521784667969,0.8626
76,1566.8662436940283,2464.3570068359377,0.8732
77,1399.3285343729624,2447.636123046875,0.8792
78,1397.997608440905,2445.3090014648437,0.8734
79,1339.7227034933915,2322.861838378906,0.8868
80,1262.6537998595904,2211.013525390625,0.8894
81,1367.5212899780743,2333.1267822265627,0.8824
82,1224.4452521732053,2139.0258715820314,0.8943
83,1215.3885750699765,2098.232307128906,0.895
84,1143.8042169495689,2139.2969677734377,0.8896
85,1168.1083013854004,2055.726474609375,0.8962
86,1023.2484081992012,1990.3372412109375,0.9019
87,1021.3158632608672,1971.1471459960937,0.9025
88,1033.7586102162004,1952.7555151367187,0.901
89,976.990804420856,1931.2905102539062,0.905
90,952.0467461798238,1891.4481396484375,0.9054
91,930.2017721979132,1909.940537109375,0.9049
92,921.1806399003427,1855.3624926757811,0.9071
93,913.7193507590521,1865.60197265625,0.9087
94,913.4774625469914,1821.2863891601562,0.9105
95,876.4582292512647,1833.5976440429688,0.9102
96,903.8920422477073,1842.6707153320312,0.9099
97,899.293574526756,1815.1463696289063,0.9115
98,875.8558939241476,1823.4850170898437,0.9101
99,884.9317462627216,1830.554482421875,0.9107
